Post Office,Zip Code,Related Post Office,Local Jurisdiction,AAA-PSA,AAA Name
APPALACHIA,24216,EXETER,Wise Co,01,Mountain Empire Older Citizens	 Inc 
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
APPOMATTOX,24522,,Appomattox Co,11,Central Virginia Area Agency on Aging	 Inc. 
ARARAT,24053,,Patrick Co,12,Southern Area Agency on Aging	 Inc. 
ARCOLA,20107,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
ARK,23003,,Gloucester Co,17/18,Bay Aging
ARLINGTON,22201,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22202,CRYSTAL CITY,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22203,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22204,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22205,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22206,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22207,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22209,ROSSLYN,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22210,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22213,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22214,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22215,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22216,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22217,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22219,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22222,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22226,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22227,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22229,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22230,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22234,GANNETT,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22240,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22242,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22243,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22244,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22245,,Arlington Co,08B,Arlington Agency on Aging
ARLINGTON,22246,,Arlington Co,08B,Arlington Agency on Aging
ARODA,22709,,Madison Co,09,Rappahannock-Rapidan Community Svs. Board
ARRINGTON,22922,TYE RIVER,Nelson Co,10,Jefferson Area Board for Aging
ARVONIA,23004,,Buckingham Co,14,Piedmont Sr. Resources Area Agency on Aging
ASHBURN,20146,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
ASHBURN,20147,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
ASHBURN,20148,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
ASHBURN,20149,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
ASHLAND,23005,,Hanover Co,15,Senior Connections: Capital Area Agency on Aging
ASSAWOMAN,23302,,Accomack Co,22,Eastern Shore Area Agency on Aging
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
ATKINS,24311,,Smyth Co,03,District Three Senior Services
ATLANTIC,23303,,Accomack Co,22,Eastern Shore Area Agency on Aging
AUGUSTA SPRINGS,24411,,Augusta Co,06,Valley Program for Aging Services	 Inc. 
AUSTINVILLE,24312,,Carroll Co,03,District Three Senior Services
AXTON,24054,,Henry Co,12,Southern Area Agency on Aging	 Inc. 
AYLETT,23009,,King William Co,17/18,Bay Aging
BACOVA,24412,,Bath Co,06,Valley Program for Aging Services	 Inc. 
BANCO,22711,,Madison Co,09,Rappahannock-Rapidan Community Svs. Board
BANDY,24602,,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BARBOURSVILLE,22923,BURNLEYS,Orange Co,09,Rappahannock-Rapidan Community Svs. Board
BARHAMSVILLE,23011,,New Kent Co,15,Senior Connections: Capital Area Agency on Aging
BARREN SPRINGS,24313,,Wythe Co,03,District Three Senior Services
BASKERVILLE,23915,,Mecklenburg Co,13,Lake Country Area Agency on Aging
BASSETT,24055,BASSETT FORKS,Henry Co,12,Southern Area Agency on Aging	 Inc. 
BASTIAN,24314,CLEARFORK,Bland Co,03,District Three Senior Services
BASYE,22810,,Shenandoah Co,07,Shenandoah Area Agency on Aging	 Inc. 
BATESVILLE,22924,,Albemarle Co,10,Jefferson Area Board for Aging
BATTERY PARK,23304,,Isle of Wight Co,20,Senior Services of Southeastern Virginia
BEALETON,22712,MORRISVILLE,Fauquier Co,09,Rappahannock-Rapidan Community Svs. Board
BEAUMONT,23014,,Goochland Co,15,Senior Connections: Capital Area Agency on Aging
BEAVERDAM,23015,,Hanover Co,15,Senior Connections: Capital Area Agency on Aging
BEDFORD,24523,,Bedford City,11,Central Virginia Area Agency on Aging	 Inc. 
BEE,24217,,Dickenson Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BELLAMY,23017,,Gloucester Co,17/18,Bay Aging
BELLE HAVEN,23306,,Accomack Co,22,Eastern Shore Area Agency on Aging
BELSPRING,24058,,Radford City,04,New River Valley Agency on Aging
BEN HUR,24218,,Lee Co,01,Mountain Empire Older Citizens	 Inc 
BENA,23018,,Gloucester Co,17/18,Bay Aging
BENT MOUNTAIN,24059,,Roanoke Co,05,LOA - Area Agency on Aging	 Inc. 
BENTONVILLE,22610,BROWNTOWN,Warren Co,07,Shenandoah Area Agency on Aging	 Inc. 
BERGTON,22811,,Rockingham Co,06,Valley Program for Aging Services	 Inc. 
BERRYVILLE,22611,,Clarke Co,07,Shenandoah Area Agency on Aging	 Inc. 
BIG ISLAND,24526,SNOWDEN,Bedford Co,11,Central Virginia Area Agency on Aging	 Inc. 
BIG ROCK,24603,CONAWAY,Buchanan Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BIG STONE GAP,24219,,Wise Co,01,Mountain Empire Older Citizens	 Inc 
BIRCHLEAF,24220,,Dickenson Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BIRDSNEST,23307,,Northhampton Co,22,Eastern Shore Area Agency on Aging
BISHOP,24604,,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BLACKSBURG,24060,,Montgomery Co,04,New River Valley Agency on Aging
BLACKSBURG,24061,,Montgomery Co,04,New River Valley Agency on Aging
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
BLACKSBURG,24062,,Montgomery Co,04,New River Valley Agency on Aging
BLACKSBURG,24063,,Montgomery Co,04,New River Valley Agency on Aging
BLACKSTONE,23824,,Nottoway Co,14,Piedmont Sr. Resources Area Agency on Aging
BLACKWATER,24221,,Lee Co,01,Mountain Empire Older Citizens	 Inc 
BLAIRS,24527,,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
BLAND,24315,,Bland Co,03,District Three Senior Services
BLOXOM,23308,,Accomack Co,22,Eastern Shore Area Agency on Aging
BLUE GRASS,24413,,Highland Co,06,Valley Program for Aging Services	 Inc. 
BLUE RIDGE,24064,,Bedford Co,11,Central Virginia Area Agency on Aging	 Inc. 
BLUEFIELD,24605,YARDS,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BLUEMONT,20135,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
BOHANNON,23021,,Mathews Co,17/18,Bay Aging
BOISSEVAIN,24606,,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BOONES MILL,24065,,Franklin Co,12,Southern Area Agency on Aging	 Inc. 
BOSTON,22713,,Culpeper Co,09,Rappahannock-Rapidan Community Svs. Board
BOWLING GREEN,22427,,Caroline Co,16,Rappahannock Area Agency on Aging	 Inc. 
BOWLING GREEN,22428,,Caroline Co,16,Rappahannock Area Agency on Aging	 Inc. 
BOYCE,22620,,Clarke Co,07,Shenandoah Area Agency on Aging	 Inc. 
BOYDTON,23917,PALMER SPRINGS,Mecklenburg Co,13,Lake Country Area Agency on Aging
BOYKINS,23827,,Southampton Co,20,Senior Services of Southeastern Virginia
BRACEY,23919,,Mecklenburg Co,13,Lake Country Area Agency on Aging
BRANCHVILLE,23828,,Southampton Co,20,Senior Services of Southeastern Virginia
BRANDY STATION,22714,BRANDY,Culpeper Co,09,Rappahannock-Rapidan Community Svs. Board
BREAKS,24607,,Buchanan Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BREMO BLUFF,23022,,Fluvanna Co,10,Jefferson Area Board for Aging
BRIDGEWATER,22812,,Rockingham Co,06,Valley Program for Aging Services	 Inc. 
BRIGHTWOOD,22715,,Madison Co,09,Rappahannock-Rapidan Community Svs. Board
BRISTOL,24201,,Bristol City,03,District Three Senior Services
BRISTOL,24202,,Washington Co,03,District Three Senior Services
BRISTOW,20136,,Prince William Co,08E,Prince William Area Agency on Aging
BROAD RUN,20137,,Fauquier Co,09,Rappahannock-Rapidan Community Svs. Board
BROADFORD,24316,,Smyth Co,03,District Three Senior Services
BROADWAY,22815,,Rockingham Co,06,Valley Program for Aging Services	 Inc. 
BRODNAX,23920,,Brunswick Co,13,Lake Country Area Agency on Aging
BROOKE,22430,,Stafford Co,16,Rappahannock Area Agency on Aging	 Inc. 
BROOKNEAL,24528,,Campbell Co,11,Central Virginia Area Agency on Aging	 Inc. 
BROWNSBURG,24415,,Rockbridge Co,06,Valley Program for Aging Services	 Inc. 
BRUCETOWN,22622,,Frederick Co,07,Shenandoah Area Agency on Aging	 Inc. 
BRUINGTON,23023,,King and Queen Co,17/18,Bay Aging
BUCHANAN,24066,LITHIA,Botetourt Co,05,LOA - Area Agency on Aging	 Inc. 
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
BUCKINGHAM,23921,,Buckingham Co,14,Piedmont Sr. Resources Area Agency on Aging
BUENA VISTA,24416,,Buena Vista City,06,Valley Program for Aging Services	 Inc. 
BUFFALO JUNCTION,24529,,Mecklenburg Co,13,Lake Country Area Agency on Aging
BUMPASS,23024,,Louisa Co,10,Jefferson Area Board for Aging
BURGESS,22432,,Northumberland Co,17/18,Bay Aging
BURKE,22009,SPRINGFIELD,Fairfax Co,08C,Fairfax Area Agency on Aging
BURKE,22015,SPRINGFIELD,Fairfax Co,08C,Fairfax Area Agency on Aging
BURKES GARDEN,24608,TAZEWELL,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
BURKEVILLE,23922,,Nottoway Co,14,Piedmont Sr. Resources Area Agency on Aging
BURR HILL,22433,,Orange Co,09,Rappahannock-Rapidan Community Svs. Board
CALLANDS,24530,,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
CALLAO,22435,WALMSLEY,Northumberland Co,17/18,Bay Aging
CALLAWAY,24067,,Franklin Co,12,Southern Area Agency on Aging	 Inc. 
CALVERTON,20138,,Fauquier Co,09,Rappahannock-Rapidan Community Svs. Board
CANA,24317,,Carroll Co,03,District Three Senior Services
CAPE CHARLES,23310,,Northhampton Co,22,Eastern Shore Area Agency on Aging
CAPEVILLE,23313,,Northhampton Co,22,Eastern Shore Area Agency on Aging
CAPRON,23829,,Southampton Co,20,Senior Services of Southeastern Virginia
CARDINAL,23025,MILES,Mathews Co,17/18,Bay Aging
CARET,22436,SUPPLY,Essex Co,17/18,Bay Aging
CARROLLTON,23314,,Isle of Wight Co,20,Senior Services of Southeastern Virginia
CARRSVILLE,23315,WALTERS,Isle of Wight Co,20,Senior Services of Southeastern Virginia
CARSON,23830,,Dinwiddie Co,19,Crater District Area Agency on Aging
CARTERSVILLE,23027,TAMWORTH,Cumberland Co,14,Piedmont Sr. Resources Area Agency on Aging
CASANOVA,20139,,Fauquier Co,09,Rappahannock-Rapidan Community Svs. Board
CASCADE,24069,,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
CASTLETON,22716,,Rappahannock Co,09,Rappahannock-Rapidan Community Svs. Board
CASTLEWOOD,24224,DICKENSONVILLE,Russell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
CATAWBA,24070,,Craig Co,05,LOA - Area Agency on Aging	 Inc. 
CATHARPIN,20143,,Prince William Co,08E,Prince William Area Agency on Aging
CATLETT,20119,,Fauquier Co,09,Rappahannock-Rapidan Community Svs. Board
CEDAR BLUFF,24609,BELFAST MILLS,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
CENTER CROSS,22437,,Essex Co,17/18,Bay Aging
CENTREVILLE,20120,SULLY STATION,Fairfax Co,08C,Fairfax Area Agency on Aging
CENTREVILLE,20121,,Fairfax Co,08C,Fairfax Area Agency on Aging
CENTREVILLE,20122,,Fairfax Co,08C,Fairfax Area Agency on Aging
CERES,24318,NEBO,Bland Co,03,District Three Senior Services
CHAMPLAIN,22438,CHANCE,Essex Co,17/18,Bay Aging
CHANTILLY,20151,FAIRFAX,Fairfax Co,08C,Fairfax Area Agency on Aging
CHANTILLY,20152,FAIRFAX,Loudoun Co,08D,Loudoun Co Area Agency on Aging
,,Related,Local,,
Post Office  Zip Code,,Post Office,Jurisdiction,AAA-PSA,AAA Name
CHANTILLY 20153,,FAIRFAX,Fairfax Co,08C,Fairfax Area Agency on Aging
CHARLES CITY 23030,,,Charles City Co,15,Senior Connections: Capital Area Agency on Aging
CHARLOTTE COURTHOUSE 23923,,,Charlotte Co,14,Piedmont Sr. Resources Area Agency on Aging
CHARLOTTESVILLE 22901,,,Albemarle Co,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22902,,,Albemarle Co,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22903,,,Albemarle Co,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22904,,,Albemarle Co,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22905,,,Charlottesville City,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22906,,,Albemarle Co,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22908,,UN VA MED CTR,Charlottesville City,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22909,,,Albemarle Co,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22910,,,Charlottesville City,10,Jefferson Area Board for Aging
CHARLOTTESVILLE 22911,,,Albemarle Co,10,Jefferson Area Board for Aging
CHASE CITY 23924,,,Mecklenburg Co,13,Lake Country Area Agency on Aging
CHATHAM 24531,,,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
CHECK  24072,,SIMPSONS,Floyd Co,04,New River Valley Agency on Aging
CHERITON 23316,,,Northhampton Co,22,Eastern Shore Area Agency on Aging
CHESAPEAKE 23320,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23321,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23322,,FENTRESS,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23323,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23324,,SOUTH NORFOLK,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23325,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23326,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23327,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESAPEAKE 23328,,,Chesapeake City,20,Senior Services of Southeastern Virginia
CHESTER 23831,,,Chesterfield Co,15,Senior Connections: Capital Area Agency on Aging
CHESTER 23836,,,Chesterfield Co,15,Senior Connections: Capital Area Agency on Aging
CHESTER GAP 22623,,,Rappahannock Co,09,Rappahannock-Rapidan Community Svs. Board
CHESTERFIELD 23832,,BEACH,Chesterfield Co,15,Senior Connections: Capital Area Agency on Aging
CHESTERFIELD 23838,,,Chesterfield Co,15,Senior Connections: Capital Area Agency on Aging
CHILHOWIE 24319,,,Smyth Co,03,District Three Senior Services
CHINCOTEAGUE ISLAND 23336,,,Accomack Co,22,Eastern Shore Area Agency on Aging
CHRISTCHURCH 23031,,,Middlesex Co,17/18,Bay Aging
CHRISTIANSBURG 24068,,,Montgomery Co,04,New River Valley Agency on Aging
CHRISTIANSBURG 24073,,CAMBRIA,Montgomery Co,04,New River Valley Agency on Aging
CHURCH ROAD 23833,,,Dinwiddie Co,19,Crater District Area Agency on Aging
CHURCH VIEW 23032,,,Middlesex Co,17/18,Bay Aging
CHURCHVILLE  24421,,,Augusta Co,06,Valley Program for Aging Services	 Inc. 
CLAREMONT 23899,,,Surry Co,19,Crater District Area Agency on Aging
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
CLARKSVILLE,23927,,Mecklenburg Co,13,Lake Country Area Agency on Aging
CLAUDVILLE,24076,,Patrick Co,12,Southern Area Agency on Aging	 Inc. 
CLEAR BROOK,22624,,Frederick Co,07,Shenandoah Area Agency on Aging	 Inc. 
CLEVELAND,24225,,Russell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
CLIFFORD,24533,,Amherst Co,11,Central Virginia Area Agency on Aging	 Inc. 
CLIFTON,20124,,Fairfax Co,08C,Fairfax Area Agency on Aging
CLIFTON FORGE,24422,,Alleghany Co,05,LOA - Area Agency on Aging	 Inc. 
CLINCHCO,24226,,Dickenson Co,02,Appalachian Agency for Senior Citizens	 Inc. 
CLINTWOOD,24228,HONEYCAMP,Dickenson Co,02,Appalachian Agency for Senior Citizens	 Inc. 
CLOVER,24534,,Halifax Co,13,Lake Country Area Agency on Aging
CLOVERDALE,24077,,Botetourt Co,05,LOA - Area Agency on Aging	 Inc. 
CLUSTER SPRINGS,24535,,Halifax Co,13,Lake Country Area Agency on Aging
COBBS CREEK,23035,BLAKES,Mathews Co,17/18,Bay Aging
COEBURN,24230,,Wise Co,01,Mountain Empire Older Citizens	 Inc 
COLEMAN FALLS,24536,,Bedford Co,11,Central Virginia Area Agency on Aging	 Inc. 
COLES POINT,22442,,Westmoreland Co,17/18,Bay Aging
COLLINSVILLE,24078,,Henry Co,12,Southern Area Agency on Aging	 Inc. 
COLONIAL BEACH,22443,,Westmoreland Co,17/18,Bay Aging
COLONIAL HEIGHTS,23834,,Chesterfield Co,15,Senior Connections: Capital Area Agency on Aging
COLUMBIA,23038,,Goochland Co,15,Senior Connections: Capital Area Agency on Aging
CONCORD,24538,,Campbell Co,11,Central Virginia Area Agency on Aging	 Inc. 
COPPER HILL,24079,KINGS STORE,Floyd Co,04,New River Valley Agency on Aging
CORBIN,22446,,Caroline Co,16,Rappahannock Area Agency on Aging	 Inc. 
COURTLAND,23837,,Southampton Co,20,Senior Services of Southeastern Virginia
COVESVILLE,22931,,Albemarle Co,10,Jefferson Area Board for Aging
COVINGTON,24426,ALLEGHANY,Alleghany Co,05,LOA - Area Agency on Aging	 Inc. 
CRADDOCKVILLE,23341,,Accomack Co,22,Eastern Shore Area Agency on Aging
CRAIGSVILLE,24430,,Augusta Co,06,Valley Program for Aging Services	 Inc. 
CREWE,23930,,Nottoway Co,14,Piedmont Sr. Resources Area Agency on Aging
CRIDERS,22820,,Rockingham Co,06,Valley Program for Aging Services	 Inc. 
CRIMORA,24431,,Augusta Co,06,Valley Program for Aging Services	 Inc. 
CRIPPLE CREEK,24322,,Wythe Co,03,District Three Senior Services
CRITZ,24082,,Patrick Co,12,Southern Area Agency on Aging	 Inc. 
CROCKETT,24323,,Wythe Co,03,District Three Senior Services
CROSS JUNCTION,22625,,Frederick Co,07,Shenandoah Area Agency on Aging	 Inc. 
CROZET,22932,YANCEY MILLS,Albemarle Co,10,Jefferson Area Board for Aging
CROZIER,23039,,Goochland Co,15,Senior Connections: Capital Area Agency on Aging
CRYSTAL HILL,24539,,Halifax Co,13,Lake Country Area Agency on Aging
CULLEN,23934,,Charlotte Co,14,Piedmont Sr. Resources Area Agency on Aging
CULPEPER,22701,CATALPA,Culpeper Co,09,Rappahannock-Rapidan Community Svs. Board
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
CUMBERLAND,23040,,Cumberland Co,14,Piedmont Sr. Resources Area Agency on Aging
DAHLGREN,22448,,King George Co,16,Rappahannock Area Agency on Aging	 Inc. 
DALEVILLE,24083,,Botetourt Co,05,LOA - Area Agency on Aging	 Inc. 
DAMASCUS,24236,,Washington Co,03,District Three Senior Services
DANTE,24237,,Dickenson Co,02,Appalachian Agency for Senior Citizens	 Inc. 
DANVILLE,24540,,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
DANVILLE,24541,SCHOOLFIELD,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
DANVILLE,24543,,Danville City,12,Southern Area Agency on Aging	 Inc. 
DANVILLE,24544,,Danville City,12,Southern Area Agency on Aging	 Inc. 
DAVENPORT,24239,,Buchanan Co,02,Appalachian Agency for Senior Citizens	 Inc. 
DAVIS WHARF,23345,,Accomack Co,22,Eastern Shore Area Agency on Aging
DAYTON,22821,MONTEZUMA,Rockingham Co,06,Valley Program for Aging Services	 Inc. 
DEERFIELD,24432,,Augusta Co,06,Valley Program for Aging Services	 Inc. 
DELAPLANE,20144,,Fauquier Co,09,Rappahannock-Rapidan Community Svs. Board
DELTAVILLE,23043,,Middlesex Co,17/18,Bay Aging
DENDRON,23839,,Surry Co,19,Crater District Area Agency on Aging
DEWITT,23840,,Dinwiddie Co,19,Crater District Area Agency on Aging
DIGGS,23045,,Mathews Co,17/18,Bay Aging
DILLWYN,23936,ANDERSONVILLE,Buckingham Co,14,Piedmont Sr. Resources Area Agency on Aging
DINWIDDIE,23841,,Dinwiddie Co,19,Crater District Area Agency on Aging
DISPUTANTA,23842,,Prince George Co,19,Crater District Area Agency on Aging
DOE HILL,24433,,Highland Co,06,Valley Program for Aging Services	 Inc. 
DOGUE,22451,,King George Co,16,Rappahannock Area Agency on Aging	 Inc. 
DOLPHIN,23843,,Brunswick Co,13,Lake Country Area Agency on Aging
DORAN,24612,,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
DOSWELL,23047,,Hanover Co,15,Senior Connections: Capital Area Agency on Aging
DRAKES BRANCH,23937,,Charlotte Co,14,Piedmont Sr. Resources Area Agency on Aging
DRAPER,24324,,Pulaski Co,04,New River Valley Agency on Aging
DREWRYVILLE,23844,,Southampton Co,20,Senior Services of Southeastern Virginia
DRY FORK,24549,,Pittsylvania Co,12,Southern Area Agency on Aging	 Inc. 
DRYDEN,24243,,Lee Co,01,Mountain Empire Older Citizens	 Inc 
DUBLIN,24084,,Pulaski Co,04,New River Valley Agency on Aging
DUFFIELD,24244,CLINCHPORT,Scott Co,01,Mountain Empire Older Citizens	 Inc 
DUGSPUR,24325,,Carroll Co,03,District Three Senior Services
DULLES,20101,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
DULLES,20102,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
DULLES,20103,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
DULLES,20104,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
DULLES,20199,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
DUMFRIES,22026,MONTCLAIR,Prince William Co,08E,Prince William Area Agency on Aging
,,Related,Local,,
Post Office,Zip Code,Post Office,Jurisdiction,AAA-PSA,AAA Name
DUNDAS,23938,,Brunswick Co,13,Lake Country Area Agency on Aging
DUNGANNON,24245,,Scott Co,01,Mountain Empire Older Citizens	 Inc 
DUNN LORING,22027,VIENNA,Fairfax Co,08C,Fairfax Area Agency on Aging
DUNNSVILLE,22454,HOWERTONS,Essex Co,17/18,Bay Aging
DUTTON,23050,,Mathews Co,17/18,Bay Aging
DYKE,22935,BOONESVILLE,Greene Co,10,Jefferson Area Board for Aging
EAGLE ROCK,24085,,Botetourt Co,05,LOA - Area Agency on Aging	 Inc. 
EARLYSVILLE,22936,,Albemarle Co,10,Jefferson Area Board for Aging
EAST STONE GAP,24246,,Wise Co,01,Mountain Empire Older Citizens	 Inc 
EASTVILLE,23347,,Northhampton Co,22,Eastern Shore Area Agency on Aging
EBONY,23845,,Brunswick Co,13,Lake Country Area Agency on Aging
EDINBURG,22824,,Shenandoah Co,07,Shenandoah Area Agency on Aging	 Inc. 
EDWARDSVILLE,22456,,Northumberland Co,17/18,Bay Aging
EGGLESTON,24086,,Giles Co,04,New River Valley Agency on Aging
ELBERON,23846,,Surry Co,19,Crater District Area Agency on Aging
ELK CREEK,24326,COMERS ROCK,Grayson Co,03,District Three Senior Services
ELKTON,22827,,Rockingham Co,06,Valley Program for Aging Services	 Inc. 
